Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013290_2	26.88357843553206	41.0	244.3167462253723	294	9.090909090909092	0.812398
SRR27013291_1	32.246169611504826	41.0	230.36452160113276	274	9.090909090909092	1.005688
SRR27013291_2	29.001559194844845	41.0	230.25331315477564	264	9.090909090909092	1.005688
SRR27013292_1	21.82019801977168	40.0	283.5456940202128	301	9.090909090909092	0.439029
SRR27013292_2	17.899485758508007	40.0	283.82587710606816	301	9.090909090909092	0.439029
SRR27013293_1	33.255900800954436	41.0	243.38897358565606	284	9.090909090909092	0.995709
SRR27013293_2	30.30379476679225	41.0	243.2749844583106	284	9.090909090909092	0.995709
SRR27013294_1	32.655553546174275	41.0	237.0061841990468	274	9.090909090909092	0.985738
SRR27013294_2	26.969185846429838	41.0	237.1961251366996	274	9.090909090909092	0.985738
SRR27013295_1	26.3880065290585	41.0	236.81041933879345	284	9.090909090909092	0.677519
SRR27013295_2	23.56250608002803	41.0	236.57252121342722	284	9.090909090909092	0.677519
SRR27013296_1	23.704631751522413	41.0	241.65655099032398	294	9.090909090909092	0.541338
SRR27013296_2	20.60358045326555	41.0	241.44043462679508	294	9.090909090909092	0.541338
SRR27013297_1	28.398336569575605	41.0	226.38470561107775	264	9.090909090909092	0.8239949999999999
SRR27013297_2	24.60629619212183	41.0	226.88041250250305	264	9.090909090909092	0.8239949999999999
SRR27013298_1	25.072962506707356	40.0	222.0839167966882	244	9.090909090909092	0.765258
SRR27013298_2	24.85125512493117	41.0	222.4662283831074	244	9.090909090909092	0.765258
SRR27013299_1	28.471604286753305	41.0	221.72798534102947	254	9.090909090909092	0.810971
SRR27013299_2	24.390064639832076	41.0	222.00930736117567	254	9.090909090909092	0.810971
SRR27013300_1	23.918801947491133	41.0	238.62731025225614	274	9.090909090909092	0.683908
SRR27013300_2	23.727442252918166	41.0	239.29664808716961	274	9.090909090909092	0.683908
SRR27013301_1	26.785138620140856	40.0	227.11649898367833	264	9.090909090909092	0.743367
SRR27013301_2	22.966848952462044	41.0	227.60875045569685	264	9.090909090909092	0.743367
SRR27013302_1	27.220895490420148	40.0	219.26931867277835	244	9.090909090909092	0.782326
SRR27013302_2	23.469929886651087	41.0	219.78260213772776	244	9.090909090909092	0.782326
SRR27013303_1	27.611997935745734	40.0	226.41431497051857	254	9.090909090909092	0.767602
SRR27013303_2	23.368886524779015	41.0	226.87929356619708	254	9.090909090909092	0.767602
SRR27013304_1	31.707429252108284	41.0	221.75720715602546	254	9.090909090909092	0.976911
SRR27013304_2	27.68643359554123	41.0	221.94304496520155	254	9.090909090909092	0.976911
SRR27013305_1	20.891316202719906	41.0	247.95930739329376	294	9.090909090909092	0.49676099999999995
SRR27013305_2	19.715980829783973	41.0	249.0426331777253	301	9.090909090909092	0.49676099999999995
SRR27013306_1	23.823563467899717	41.0	216.28053229623683	234	9.090909090909092	0.72253
SRR27013306_2	24.088325723367433	41.0	216.62911643807178	234	9.090909090909092	0.72253
SRR27013307_1	23.57128788820806	41.0	256.432745419939	294	9.090909090909092	0.557962
SRR27013307_2	19.575462805187357	41.0	256.72911506518363	294	9.090909090909092	0.557962
SRR27013308_1	22.939099204362634	40.0	237.4126855040615	274	9.090909090909092	0.6338809999999999
SRR27013308_2	22.398339495438478	41.0	238.18269596343794	274	9.090909090909092	0.6338809999999999
SRR27013309_1	23.900325461880982	41.0	238.16469368683985	274	9.090909090909092	0.621733
SRR27013309_2	22.568388028852198	41.0	239.36769481433348	284	9.090909090909092	0.621733
SRR27013310_1	22.100836419560537	40.0	224.69985575207536	254	27.27272727272727	0.594116
SRR27013310_2	22.442660217445265	41.0	224.92164408970638	254	18.181818181818183	0.594116
SRR27013311_1	22.579778972489834	41.0	234.66457410434384	274	9.090909090909092	0.633195
SRR27013311_2	21.74937948284584	41.0	235.64141773071486	274	9.090909090909092	0.633195
SRR27013312_1	22.276395814202417	40.0	245.42883224526065	294	9.090909090909092	0.525547
SRR27013312_2	21.7389554175804	40.0	244.8906396573475	294	18.181818181818183	0.525547
SRR27013313_1	24.314404142845703	40.0	247.79380272037554	294	9.090909090909092	0.601167
SRR27013313_2	23.591187624293994	41.0	247.33615451280593	294	18.181818181818183	0.601167
SRR27013314_1	25.954712026516717	40.0	226.0511075972587	254	9.090909090909092	0.817716
SRR27013314_2	25.49501556361912	41.0	227.00008743867065	254	9.090909090909092	0.817716
SRR27013315_1	25.92003984617571	41.0	238.82481399078262	264	9.090909090909092	0.69217
SRR27013315_2	24.10980140562195	41.0	238.82011355591834	264	9.090909090909092	0.69217
SRR27013316_1	23.987909920715083	40.0	240.33486230793886	274	9.090909090909092	0.652071
SRR27013316_2	23.72898493389654	41.0	239.50255877044063	274	9.090909090909092	0.652071
SRR27013317_1	25.206346880467407	40.0	240.78513163046327	274	9.090909090909092	0.679402
SRR27013317_2	23.102889311765963	40.0	240.79854636871838	274	9.090909090909092	0.679402
SRR27013318_1	21.17141961400735	41.0	260.1908443468561	301	9.090909090909092	0.454517
SRR27013318_2	17.37742717005952	41.0	260.48017015865196	301	9.090909090909092	0.454517
SRR27013319_1	19.78830221890189	40.0	247.33785676082022	294	9.090909090909092	0.474898
SRR27013319_2	19.28406268846969	41.0	247.83022775417038	301	9.090909090909092	0.474898
SRR27013320_1	24.927552384334433	41.0	235.60880146135676	264	9.090909090909092	0.672252
SRR27013320_2	23.44352079811587	41.0	235.44897523547718	264	9.090909090909092	0.672252
SRR27013321_1	25.569532561079413	40.0	233.91027138426153	264	9.090909090909092	0.723476
SRR27013321_2	25.448386264528423	41.0	233.3404860700286	264	18.181818181818183	0.723476
SRR27013322_1	27.46169271270844	41.0	240.42171536929123	274	9.090909090909092	0.750952
SRR27013322_2	26.233045572581716	41.0	240.2975256740777	274	9.090909090909092	0.750952
SRR27013323_1	21.890365093069434	41.0	237.01796905541704	274	9.090909090909092	0.575545
SRR27013323_2	20.255146454104306	41.0	238.35407830838597	284	9.090909090909092	0.575545
SRR27013324_1	24.551457258966906	40.0	239.66712714759873	274	9.090909090909092	0.656198
SRR27013324_2	23.705809909146055	41.0	239.06729371317803	274	9.090909090909092	0.656198
SRR27013325_1	27.181473178497427	41.0	236.3793417863311	264	9.090909090909092	0.746323
SRR27013325_2	25.85596258977452	41.0	236.21284216083384	264	9.090909090909092	0.746323
SRR27013326_1	23.635297673468614	40.0	235.49064239806242	264	9.090909090909092	0.667639
SRR27013326_2	22.641690718413244	40.0	235.0404852023324	264	9.090909090909092	0.667639
SRR27013327_1	24.226511371191478	40.0	249.42371598851722	294	9.090909090909092	0.64096
SRR27013327_2	21.37641930829919	40.0	249.72929667998002	294	9.090909090909092	0.64096
SRR27013328_1	25.30049928273857	41.0	240.0006510468802	274	9.090909090909092	0.624379
SRR27013328_2	23.353610081650842	41.0	240.157362755634	274	9.090909090909092	0.624379
SRR27013329_1	28.4686881227381	40.0	235.17780434755744	264	9.090909090909092	0.80919
SRR27013329_2	25.28325763198751	41.0	234.6159418677937	264	18.181818181818183	0.80919
SRR27013330_1	30.376418281623756	40.0	244.05204059408723	294	9.090909090909092	0.854016
SRR27013330_2	25.81798529217984	41.0	243.7306959120204	284	18.181818181818183	0.854016
SRR27013331_1	29.951955318594543	40.0	240.82196035927225	284	9.090909090909092	0.8875719999999999
SRR27013331_2	24.89108134696447	40.0	240.73503389020834	284	9.090909090909092	0.8875719999999999
SRR27013332_1	28.926602521855045	40.0	243.0343473648693	294	9.090909090909092	0.8239059999999999
