Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR27013337_1	(30.0, 659598.0)																					
SRR27013337_2	(30.0, 659598.0)																					
SRR27013338_1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 25.0)	(21.0, 177.0)	(22.0, 446.0)	(23.0, 796.0)	(24.0, 1388.0)	(25.0, 2167.0)	(26.0, 3673.0)	(27.0, 5762.0)	(28.0, 8107.0)	(29.0, 11791.0)	(30.0, 16315.0)	(31.0, 21789.0)	(32.0, 29129.0)	(33.0, 38266.0)	(34.0, 52370.0)	(35.0, 77332.0)	(36.0, 130337.0)	(37.0, 246851.0)		
SRR27013338_2	(19.0, 20.0)	(20.0, 1392.0)	(21.0, 5750.0)	(22.0, 7900.0)	(23.0, 9821.0)	(24.0, 11783.0)	(25.0, 13895.0)	(26.0, 16792.0)	(27.0, 19983.0)	(28.0, 24042.0)	(29.0, 28743.0)	(30.0, 34779.0)	(31.0, 42578.0)	(32.0, 53518.0)	(33.0, 65561.0)	(34.0, 78371.0)	(35.0, 83365.0)	(36.0, 75090.0)	(37.0, 73339.0)			
SRR27013339_1	(30.0, 706394.0)																					
SRR27013339_2	(30.0, 706394.0)																					
SRR27013340_1	(30.0, 601689.0)																					
SRR27013340_2	(30.0, 601689.0)																					
SRR27013341_1	(30.0, 1096876.0)																					
SRR27013341_2	(30.0, 1096876.0)																					
SRR27013342_1	(30.0, 868986.0)																					
SRR27013342_2	(30.0, 868986.0)																					
SRR27013343_1	(30.0, 1037098.0)																					
SRR27013343_2	(30.0, 1037098.0)																					
