"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00184",0,5.16045126479387,22.3944559748433,9.51511709061117,1.83440383157923,9.89854614295266,6.16611106121575
"SAOUHSC_00185",2.34845962570013,5.16045126479387,0,4.75755854530559,11.0064229894754,2.47463653573817,15.0727159274163
"SAOUHSC_00186",0,0,13.436673584906,4.75755854530559,1.83440383157923,4.94927307147633,6.16611106121575
"SAOUHSC_00187",4310.01052806617,2505.39908905743,5599.73371650956,6316.84835852949,1595.01413155814,2574.85931543556,11953.691415618
"SAOUHSC_00188",1829.4500484204,725.04340270354,3243.83694795605,1899.45524921326,395.314025705323,791.883691436213,5680.01597255658
"SAOUHSC_00190",8.21960868995047,0,11.1972279874216,4.75755854530559,7.3376153263169,4.94927307147633,5.48098760996956
"SAOUHSC_00191",0,28.3824819563663,0,0,0.917201915789613,0,0
"SAOUHSC_00192",4.10980434497523,20.6418050591755,43.6691891509444,58.2800921799934,0.917201915789613,68.0525047327995,23.9793207936168
"SAOUHSC_00193",0,0,4.47889119496865,0,0,3.71195480360725,1.37024690249239
"SAOUHSC_00195",16899.5154665382,4548.9377899158,2476.82683081767,113397.597316995,5235.38853532711,3742.88776030398,4267.63397781255
"SAOUHSC_00196",9851.20101490564,1628.12237404247,2678.37693459126,68548.0929103992,2927.70851520044,2770.35560175888,2985.76800053092
"SAOUHSC_00197",3193.31797604576,534.106705906166,1104.04667955977,16683.5684287504,1004.33609778963,1129.67157856447,1071.53307774905
"SAOUHSC_00198",2976.0854606685,838.573330529005,1200.3428402516,18336.8200232441,829.15053187381,1317.74395528057,2467.81467138879
"SAOUHSC_00199",4152.66373314426,1976.45283441605,1232.81480141512,43625.6224708159,3143.250965411,3243.01118008487,3711.99885885188
"SAOUHSC_00200",5.87114906425034,25.8022563239694,20.1550103773589,16.6514549085695,16.509634484213,0,31.515678757325
"SAOUHSC_00201",5.2840341578253,0,82.8594871069201,0,5.50321149473768,17.3224557501672,36.3115429160483
"SAOUHSC_00202",2.34845962570013,0,3.35916839622649,0,0.917201915789613,0,12.3322221224315
"SAOUHSC_00203",2.93557453212517,0,6.71833679245298,9.51511709061117,5.50321149473768,22.2717288216435,11.9896603968084
"SAOUHSC_00204",234.845962570013,123.850830355053,597.931974528315,151.052483813452,229.300478947403,124.969145054777,721.777555887866
"SAOUHSC_00206",1703.80745844545,660.537761893616,660.636451257877,3788.20599169957,1783.9577262108,815.392738525725,1508.2992779185
"SAOUHSC_00208",23.4845962570013,5.16045126479387,3.35916839622649,11.893896363264,19.2612402315819,16.0851374822981,11.9896603968084
"SAOUHSC_00209",137.972003009883,10.3209025295877,134.36673584906,174.84027653998,82.5481724210651,89.086915286574,53.7821909228263
"SAOUHSC_00211",17.613447192751,20.6418050591755,2.23944559748433,7.13633781795838,1.83440383157923,0,11.9896603968084
